id,word,html,description,pronounce
4020,chí tôn,"<h1>chí tôn</h1><ul><li>Most venerated<ul style=""list-style-type:circle""><li>Đấng chí tôn:<i>The Most Venerated, God</i></li></ul></li></ul>",Most venerated,
4021,chí tuyến,<h1>chí tuyến</h1><h2>noun</h2><ul><li>Tropic</li></ul>,noun: Tropic,
4022,chí tử,"<h1>chí tử</h1><ul><li>Deadly, to death<ul style=""list-style-type:circle""><li>giáng cho những đòn chí tử:<i>to strike deadly blows</i></li><li>mấy con thú tranh mồi, cắn xé nhau chí tử:<i>some beasts were disputing a prey, inflicting deadly wounds on one another</i></li><li>làm việc chí tử:<i>to work oneself to death</i></li><li>nghèo chí tử:<i>deadly poor</i></li></ul></li></ul>","Deadly, to death",
4023,chí yếu,<h1>chí yếu</h1>-Most important<br/>,,
4024,chị,"<h1>chị</h1><h2>noun</h2><ul><li>Elder sister, first cousin (daughter of one's either parent's elder brother or sister)<ul style=""list-style-type:circle""><li>chị ruột:<i>elder blood sister</i></li><li>chị dâu:<i>sister-in-law (one's elder brother's wife)</i></li><li>chị họ:<i>first female cousin (one's either parent's elder brother's or sister's daughter)</i></li></ul></li><li>(Form of address for young women or women about or above one's age, or young women younger than one)</li></ul>","noun: Elder sister, first cousin (daughter of one's either parent's elder brother or sister)",
4025,chị bộ,"<h1>chị bộ</h1><h2>noun</h2>-cell<br/><ul style=""list-style-type:circle""><li>bí_thư chi_bộ:<i>A cell secretary National branch</i></li></ul>",noun: bí_thư chi_bộ:<i>A cell secretary National branch</i>,
4026,chị em,"<h1>chị em</h1><ul><li>Sisters (young women fellow members of the same communitỵ.)<ul style=""list-style-type:circle""><li>giúp đỡ chị em có con mọn:<i>to help these of our sisters with small children</i></li></ul></li></ul>",Sisters (young women fellow members of the same communitỵ.),
4027,chị hằng,"<h1>chị hằng</h1><ul><li>Phoebe, the moon</li></ul>","Phoebe, the moon",
4028,chia,"<h1>chia</h1><h2>verb</h2><ul><li>To divide, to split, to distribute, to share<ul style=""list-style-type:circle""><li>chia lớp học thành nhiều tổ:<i>to split the class into groups</i></li><li>chia đôi:<i>to split in two</i></li><li>sáu chia cho ba được hai:<i>six divided by three makes two</i></li><li>chia quà cho các cháu:<i>to divide presents among children</i></li><li>chia ruộng đất cho nông dân:<i>to distribute land to the peasants</i></li><li>chia nhau món tiền thưởng:<i>to divide a money reward with one another</i></li><li>viết thư chia buồn với bạn:<i>to write a letter sharing one's friend's grief, to write a letter of sympathy (condolence)</i></li></ul></li></ul>","verb: To divide, to split, to distribute, to share",
4029,chia cắt,"<h1>chia cắt</h1><h2>verb</h2><ul><li>To divide, to partition, to isolate</li></ul>","verb: To divide, to partition, to isolate",
4030,chia li,<h1>chia li</h1><ul><li>như chia ly</li></ul>,như chia ly,
4031,chia lìa,"<h1>chia lìa</h1><h2>verb</h2><ul><li>To part, to separate<ul style=""list-style-type:circle""><li>sống trong cảnh chia lìa:<i>to live in separation</i></li></ul></li></ul>","verb: To part, to separate",
4032,chia ly,<h1>chia ly</h1><h2>verb</h2>-to disunite; to dissociate<br/>,verb: ,
4033,chia phôi,<h1>chia phôi</h1><ul><li>như chia ly</li></ul>,như chia ly,
4034,chia rẽ,"<h1>chia rẽ</h1><ul><li>To divide, to split the ranks of, to drive a wedge between<ul style=""list-style-type:circle""><li>gây chia rẽ:<i>to sow division</i></li></ul></li></ul>","To divide, to split the ranks of, to drive a wedge between",
4035,chia sẻ,"<h1>chia sẻ</h1><ul><li>To share<ul style=""list-style-type:circle""><li>chia sẻ cho nhau từng bát cơm manh áo lúc khó khăn:<i>to share every bowl of rice and every bit of clothes in hard times</i></li><li>chia sẻ niềm vui nỗi buồn:<i>to share weal and woe</i></li><li>chia sẻ một phần trách nhiệm:<i>to share in the responsibility</i></li><li>chia ngọt sẻ bùi:<i>to share equally one's last crust</i></li></ul></li></ul>",To share,
4036,chia tay,"<h1>chia tay</h1><ul><li>To say good-bye<ul style=""list-style-type:circle""><li>đến chia tay bạn để lên đường:<i>to come to say good-bye to a friend before leaving</i></li><li>phút chia tay đầy lưu luyến:<i>the good-bye saying moment full of reluctance to part</i>-To go shares<br/></li><li>chia (tay) nhau của ăn cắp:<i>to go shares in stolen goods</i></li></ul></li></ul>",To say good-bye,
4037,chia xẻ,"<h1>chia xẻ</h1><ul><li>To split up<ul style=""list-style-type:circle""><li>chia xẻ lực lượng:<i>to split up one's forces</i></li><li>chia năm xẻ bảy:<i>to split up into small pieces</i></li></ul></li></ul>",To split up,
4038,chìa,"<h1>chìa</h1><h2>noun</h2><ul><li>Key, key-like thing<ul style=""list-style-type:circle""><li>tra chìa vào khoá:<i>to insert a key in a lock</i></li></ul></li></ul><h2>verb</h2><ul><li>To stretch out, to extend, to show, to produce<ul style=""list-style-type:circle""><li>chìa tay ra đón ai:<i>to extend one's hand to greet someone</i></li><li>chìa cho xem tấm thẻ:<i>to show one's card</i>-To jut out, to protrude<br/></li><li>ban công chìa ra ngoài đường:<i>the balcony juts out over the road</i></li></ul></li></ul>","noun: Key, key-like thing",
4039,chìa khóa,"<h1>chìa khóa</h1><h2>noun</h2><ul><li>Key key<ul style=""list-style-type:circle""><li>cho chìa khoá vào ổ khoá:<i>to put the key in the lock</i></li><li>tay hòm chìa khoá:<i>to hold the purse-strings (in a household)</i></li></ul></li></ul>",noun: Key key,
4040,chìa vôi,<h1>chìa vôi</h1><ul><li>Wagtail (chim)</li></ul>,Wagtail (chim),
4041,chĩa,"<h1>chĩa</h1><h2>noun</h2><ul><li>Fishing fork, fish lance</li></ul><h2>verb</h2><ul><li>To fish with a fish lance (fishing fork)-To point at, to direct, to train upon<br/><ul style=""list-style-type:circle""><li>chĩa lưỡi lê vào ngực ai:<i>to point one's bayonet at someone</i></li><li>nòng súng chĩa lên cao:<i>the gun's barrel was trained high</i></li><li>chĩa mũi nhọn đấu tranh vào kẻ thù chính:<i>to direct the spearhead of the struggle at the main enemy</i></li></ul></li></ul>","noun: Fishing fork, fish lance",
4042,chích,"<h1>chích</h1><h2>verb</h2><ul><li>To lance, to tap<ul style=""list-style-type:circle""><li>chích nhọt:<i>to lance a boil</i></li><li>chích mủ cao su:<i>to tap (latex from) rubber-trees</i>-To sting<br/></li><li>bị muỗi chích:<i>to be stung by mosquitoes</i>-To inject<br/></li><li>chích thuốc:<i>to inject medicine</i></li></ul></li></ul>","verb: To lance, to tap",
4043,chích ngừa,<h1>chích ngừa</h1><h2>verb</h2>-to inoculate; to get immunisation shot<br/>,verb: ,
4044,chiếc,"<h1>chiếc</h1><h2>noun</h2><ul><li>A (unit of)<ul style=""list-style-type:circle""><li>chiếc đũa:<i>a chopstick</i></li><li>chiếc giày:<i>a shoe</i></li><li>chiếc nón:<i>a hat</i></li><li>chiếc đồng hồ:<i>a watch</i></li><li>chiếc máy bay:<i>a plane</i></li><li>chiếc lá:<i>a leaf</i></li></ul></li></ul><h2>adj</h2><ul><li>Single<ul style=""list-style-type:circle""><li>chăn đơn gối chiếc</li></ul></li></ul>",noun: A (unit of),
4045,chiếc bóng,<h1>chiếc bóng</h1><h2>adjective</h2>-Lonely shadow<br/>,adjective: ,
4046,chiêm,"<h1>chiêm</h1><h2>noun</h2><ul><li>Summer rice<ul style=""list-style-type:circle""><li>cấy chiêm:<i>to transplant summer rice</i></li><li>đồng chiêm:<i>summer rice-fields</i></li><li>chiêm khê mùa thối:<i>failure of both summer and autumn crops</i></li></ul></li></ul><h2>adj</h2><ul><li>(nói về thóc) Of the fifth lunar month, summer<ul style=""list-style-type:circle""><li>thóc chiêm:<i>summer paddy</i>-Out of season, late<br/></li><li>ổi chiêm:<i>out-of-season guavas</i></li><li>na chiêm:<i>late custard-apples</i></li></ul></li></ul>",noun: Summer rice,
4047,chiêm bái,<h1>chiêm bái</h1><h2>verb</h2>-to adore<br/>,verb: ,
4048,chiêm bao,"<h1>chiêm bao</h1><h2>verb</h2><ul><li>To dream, to see in a dream<ul style=""list-style-type:circle""><li>giấc chiêm bao:<i>a dream</i></li></ul></li></ul>","verb: To dream, to see in a dream",
4049,chiêm chiếp,"<h1>chiêm chiếp</h1><ul><li>To cheep, to chirp<ul style=""list-style-type:circle""><li>đàn gà con chiêm chiếp:<i>the flock of chicks were cheeping</i></li></ul></li></ul>","To cheep, to chirp",
4050,chiêm nghiệm,"<h1>chiêm nghiệm</h1><h2>verb</h2><ul><li>To be experienced in observing (something)<ul style=""list-style-type:circle""><li>những người làm nghề đánh cá biển rất giỏi chiêm nghiệm thời tiết:<i>the sea fishing people are very experienced in observing the weather</i></li></ul></li></ul>",verb: To be experienced in observing (something),
4051,chiêm ngưỡng,"<h1>chiêm ngưỡng</h1><h2>verb</h2><ul><li>To gaze with veneration<ul style=""list-style-type:circle""><li>chiêm ngưỡng một bức tượng:<i>to gaze with veneration at a statue</i>-To pay homage to the memory of<br/></li><li>chiêm ngưỡng những chiến sĩ đã oanh liệt hy sinh vì tổ quốc:<i>to pay homage to the memory of the fighters who have gloriously laid down their lives for the fatherland</i></li></ul></li></ul>",verb: To gaze with veneration,
4052,chiêm tinh học,<h1>chiêm tinh học</h1><h2>noun</h2><ul><li>Astrology</li></ul>,noun: Astrology,
4053,chiếm,"<h1>chiếm</h1><h2>verb</h2><ul><li>To appropriate, to occupy<ul style=""list-style-type:circle""><li>chiếm một địa vị quan trọng:<i>to occupy an important position</i></li><li>đánh chiếm một vị trí:<i>to attack and occupy a position, to rush a position</i></li><li>vùng bị địch chiếm:<i>an enemy-occupied area</i></li><li>chiếm của công làm của tư:<i>to appropriate public property</i></li><li>khu triển lãm chiếm một khoảng đất rộng mấy hecta:<i>the exhibition centre occupied a plot of several hectares</i>-To make up<br/></li><li>số phụ nữ chiếm hơn 50%:<i>women make up more than 50%</i></li></ul></li></ul>","verb: To appropriate, to occupy",
4054,chiếm cứ,"<h1>chiếm cứ</h1><ul><li>To occupy<ul style=""list-style-type:circle""><li>chiếm cứ một vùng:<i>to occupy an area</i></li></ul></li></ul>",To occupy,
4055,chiếm đoạt,<h1>chiếm đoạt</h1><h2>verb</h2><ul><li>To appropriate</li></ul>,verb: To appropriate,
4056,chiếm đóng,"<h1>chiếm đóng</h1><ul><li>To station occupying troops in, to occupy</li></ul>","To station occupying troops in, to occupy",
4057,chiếm giữ,"<h1>chiếm giữ</h1><h2>verb</h2>-to with hold<br/><ul style=""list-style-type:circle""><li> chiếm_giữ tài_sản:<i>to with hold property</i></li></ul>",verb:  chiếm_giữ tài_sản:<i>to with hold property</i>,
4058,chiếm hữu,"<h1>chiếm hữu</h1><h2>verb</h2><ul><li>To hold, to own</li></ul>","verb: To hold, to own",
4059,chiếm lĩnh,"<h1>chiếm lĩnh</h1><h2>verb</h2><ul><li>To control<ul style=""list-style-type:circle""><li>chiếm lĩnh trận địa:<i>to control the battlefield</i></li><li>tung hàng hoá ra để chiếm lĩnh thị trường:<i>to dump goods and control the market</i></li></ul></li></ul>",verb: To control,
4060,chiên,"<h1>chiên</h1><h2>verb</h2><ul><li>To fry<ul style=""list-style-type:circle""><li>chiên cá:<i>to fry fish</i></li><li>cơm chiên:<i>Cantonese rice</i></li></ul></li></ul><h2>noun</h2><ul><li>Animal hair cloth (used for blankets and upholstery)<ul style=""list-style-type:circle""><li>tấm chiên:<i>a piece of animal hair cloth</i></li><li>chăn chiên:<i>a blanket of animal hair, a woolen blanket</i></li></ul></li></ul>",verb: To fry,
4061,chiền,<h1>chiền</h1><h2>noun</h2><ul><li>Pagoda</li></ul>,noun: Pagoda,
4062,chiền chiện,<h1>chiền chiện</h1><h2>noun</h2><ul><li>Skylark (chim)</li></ul>,noun: Skylark (chim),
4063,chiến,"<h1>chiến</h1><h2>noun</h2><ul><li>War<ul style=""list-style-type:circle""><li>nhảy vào vòng chiến:<i>to take part in the war, to become a belligerent to enter the fray</i></li><li>từ thời chiến chuyển sang thời bình:<i>to switch from war time to peace time</i></li><li>ngựa chiến:<i>a war-horse</i></li><li>tàu chiến:<i>a warship</i></li></ul></li></ul><h2>adj</h2><ul><li>Bully, clinking</li></ul>",noun: War,
4064,chiến bại,"<h1>chiến bại</h1><ul><li>To be defeated, to be vanquished<ul style=""list-style-type:circle""><li>kẻ chiến bại và kẻ chiến thắng:<i>the vanquished and the victor</i></li></ul></li></ul>","To be defeated, to be vanquished",
4065,chiến bào,<h1>chiến bào</h1><h2>noun</h2><ul><li>War dress</li></ul>,noun: War dress,
4066,chiến binh,<h1>chiến binh</h1><h2>noun</h2><ul><li>Combatant</li></ul>,noun: Combatant,
4067,chiến công,"<h1>chiến công</h1><h2>noun</h2><ul><li>Feat of arms<ul style=""list-style-type:circle""><li>chiến công oanh liệt:<i>a glorious feat of arms</i></li></ul></li></ul>",noun: Feat of arms,
4068,chiến cụ,<h1>chiến cụ</h1><h2>noun</h2><ul><li>War material</li></ul>,noun: War material,
4069,chiến cuộc,"<h1>chiến cuộc</h1><h2>noun</h2><ul><li>War situation, war complexion<ul style=""list-style-type:circle""><li>theo dõi chiến cuộc:<i>to follow the war situation</i></li></ul></li></ul>","noun: War situation, war complexion",
4070,chiến dịch,"<h1>chiến dịch</h1><h2>noun</h2><ul><li>Campaign, movement<ul style=""list-style-type:circle""><li>phát động một chiến dịch vệ sinh phòng bệnh mùa hè:<i>to launch a summer prophylactic hygiene campaign (movement)</i></li></ul></li></ul>","noun: Campaign, movement",
4071,chiến đấu,"<h1>chiến đấu</h1><h2>verb</h2><ul><li>To fight, to combat, to struggle, to militate</li></ul>","verb: To fight, to combat, to struggle, to militate",
4072,chiến hạm,<h1>chiến hạm</h1><h2>noun</h2><ul><li>Warship</li></ul>,noun: Warship,
4073,chiến hào,"<h1>chiến hào</h1><h2>noun</h2><ul><li>Combat trench, fighting trench<ul style=""list-style-type:circle""><li>đào chiến hào:<i>to dig combat trenches</i></li></ul></li></ul>","noun: Combat trench, fighting trench",
4074,chiến hữu,<h1>chiến hữu</h1><h2>noun</h2><ul><li>Comrade-in-arms</li></ul>,noun: Comrade-in-arms,
4075,chiến khu,"<h1>chiến khu</h1><h2>noun</h2><ul><li>Strategic war theatre-Base<br/><ul style=""list-style-type:circle""><li>chiến khu Việt Bắc:<i>The Northernmost Vietnam base</i></li></ul></li></ul>",noun: Strategic war theatre,
4076,chiến lợi phẩm,"<h1>chiến lợi phẩm</h1><h2>noun</h2><ul><li>War booty<ul style=""list-style-type:circle""><li>thu chiến lợi phẩm:<i>to collect war booty</i></li><li>khẩu súng chiến lợi phẩm:<i>a war-booty rifle</i></li></ul></li></ul>",noun: War booty,
4077,chiến lũy,<h1>chiến lũy</h1><h2>noun</h2><ul><li>System of defence works</li></ul>,noun: System of defence works,
4078,chiến lược,"<h1>chiến lược</h1><h2>noun</h2><ul><li>Strategy<ul style=""list-style-type:circle""><li>chiến lược đánh lâu dài:<i>the strategy of protrated fighting</i></li><li>Nguyễn Huệ là một thiên tài về chiến lược quân sự:<i>Nguyen Hue was a strategist of genius</i></li></ul></li></ul><h2>adj</h2><ul><li>Strategic, strategical<ul style=""list-style-type:circle""><li>ấp chiến lược:<i>a strategic hamlet</i></li><li>cuộc phản công chiến lược:<i>a strategical counter-offensive</i></li></ul></li></ul>",noun: Strategy,
4079,chiến sĩ,"<h1>chiến sĩ</h1><h2>noun</h2><ul><li>Man, soldier-Fighter<br/><ul style=""list-style-type:circle""><li>chiến sĩ hoà bình:<i>a peace-fighter</i></li></ul></li></ul>","noun: Man, soldier",
4080,chiến sự,"<h1>chiến sự</h1><h2>noun</h2><ul><li>Fighting, hostilities<ul style=""list-style-type:circle""><li>tình hình chiến sự:<i>fighting situation</i></li><li>vùng có chiến sự:<i>an area where there is fighting, an embattled area</i></li><li>chiến sự diễn ra ác liệt:<i>fighting was fierce</i></li><li>đình chỉ chiến sự:<i>suspension (halt) of the hostilities</i></li></ul></li></ul>","noun: Fighting, hostilities",
4081,chiến thắng,"<h1>chiến thắng</h1><h2>verb</h2><ul><li>To win victory over, to triumph over<ul style=""list-style-type:circle""><li>chiến thắng thiên tai:<i>to triumph over a natural calamity</i></li><li>chiến thắng nghèo nàn và lạc hậu:<i>to triumph over poverty and backwardness</i></li></ul></li></ul><h2>noun</h2><ul><li>Victory</li></ul>","verb: To win victory over, to triumph over",
4082,chiến thuật,"<h1>chiến thuật</h1><h2>noun</h2><ul><li>Tactics<ul style=""list-style-type:circle""><li>chiến thuật phục kích:<i>the ambush tactics</i></li><li>chiến thuật lấy ít đánh nhiều:<i>the tactics of opposing a small force to a bigger one</i></li><li>nắm vững các nguyên tắc chiến thuật:<i>to grasp all tactical principles</i></li><li>nâng cao trình độ chiến thuật của đội bóng đá:<i>to raise the tactical standard of the football team</i>-Line, slogan and methods of action<br/></li></ul></li></ul><h2>adj</h2><ul><li>Tactical<ul style=""list-style-type:circle""><li>không quân chiến thuật:<i>a tactical air force</i></li></ul></li></ul>",noun: Tactics,
4083,chiến thuyền,"<h1>chiến thuyền</h1><h2>noun</h2><ul><li>Warship, gunboat</li></ul>","noun: Warship, gunboat",
4084,chiến tích,"<h1>chiến tích</h1><h2>noun</h2><ul><li>Exploit of arms, feat of arms</li></ul>","noun: Exploit of arms, feat of arms",
4085,chiến tranh,"<h1>chiến tranh</h1><h2>noun</h2><ul><li>War, warfare</li></ul>","noun: War, warfare",
4086,chiến trận,"<h1>chiến trận</h1><h2>noun</h2><ul><li>Battle, engagement</li></ul>","noun: Battle, engagement",
4087,chiến trường,"<h1>chiến trường</h1><h2>noun</h2><ul><li>Battlefield, theatre of war<ul style=""list-style-type:circle""><li>thu dọn chiến trường:<i>to clean up a battlefield (by burying the dead, evacuating the wounded, picking up the war booty.)</i></li><li>chiến trường châu Âu trong đại chiến thế giới thứ hai:<i>the European theatre of war in the Second World War</i></li></ul></li></ul>","noun: Battlefield, theatre of war",
4088,chiến tuyến,"<h1>chiến tuyến</h1><h2>noun</h2><ul><li>Fighting line, front line, front<ul style=""list-style-type:circle""><li>giữ vững chiến tuyến:<i>to hold firm to the fighting line</i></li></ul></li></ul>","noun: Fighting line, front line, front",
4089,chiến xa,"<h1>chiến xa</h1><h2>noun</h2><ul><li>Combat vehicle<ul style=""list-style-type:circle""><li>xe tăng là một loại chiến xa:<i>a tank is a kind of combat vehicle</i></li></ul></li></ul>",noun: Combat vehicle,
4090,chiêng,"<h1>chiêng</h1><h2>noun</h2><ul><li>Gong</li><li>Gongs were found in Vietnam in the Bronze Age (Đông Sơn culture from 2000 to 3500 years ago). Gongs were cast in bronze, an alloy of copper, zinc and lead. Gongs are used as a musical instrument by most ethnic groups in Vietnam. Gongs are frequently mentioned in Highland songs, and its music displays its contemplative nature. Highlanders believe that when gong music is played, there is an encounter between the human and spirit worlds, between the worlds of the living and the dead. In real life, the gong is closely associated with each stage of a lifespan. In the ceremony of blowing the ear for a newborn child, the sound of a gong serves to declare the offical acceptance of a new community member. When he or she is old enough to get married, in the ceremony of exchanging necklace, the gong sound is a reminder to the new couple to observe family and community traditions. The sound is so deep that it seems to ring only once in one's life. When beasts are destroying crops or a war rages, the gong seems to urge young people to dash to the battlefield and struggle for the survival of the community. If the gong sounds hilarious and fast, it heralds a victory or the ceremony of killing buffalo. When the gong sounds slow, sinister and heavy, then it is the news of a death. The gong is warm in a night of rest or around a fire with a pot of wine, an indication of a good harvest when young people gather to sing and dance and tell of their love-When the gong sounds from the communal house, it can be heard all over the mountain and forest as a call for the young men to return to the communal house. When an old man passes away, the gong echoes its farewell. Virtually, all Western Highland and Long Range tribes have their own gongs. There are various types: Cồng (with a nipple) and Chiêng (without one) and there are also different sizes depending on the tribe, each region with its own regulations. It would not be an exaggeration to say that the gong is one of the main instruments in the orchestras of the Western Highland (Tây Nguyên) and Long Range (Trường Sơn) tribes, used in festivals such as the welcoming of a victory, killing buffalo, forgetting a tomb, and welcoming a good harvest. There are three pieces: Juar, Trum and Vang. Juar has an accelerating tempo revealing the majestic heroism of the victory; Trum (accompanied by a shield dance) expresses the hard but brave fight of the soldiers; and Vang, with a slow tempo, tells of sorrow, grief and regret felt for fallen soldiers. Gongs are named differently according to their size, register, timbre and function: Mother Gong, Father Gong, Older Sister Gong, Younger Sister Gong, or high pitch, medium pitch and low pitch. Hands or sticks are used to beat the gong. Sticks can be wrapped with cloth and/or rubber and a gong can be held by hand, put on the thigh or hung on a frame when played. Researchers all agree that of all the gongs of the ethnic groups, the Ba Na gong is the most majestic, imposing, romantic and echoing; the Gia Rai gong is the most solid, echoing and accelerated. The gong is an instrument of a philosophical and contemplative character. Closely associated with other art forms like singing and dancing, they can also be witty, cheerful and romantic. They are not only the property of the ethnic groups of the Western Highlands and the Long Range, but also bear unique and cherished value for Vietnamese culture as a whole. ()<br/></li></ul>",noun: Gong,
4091,chiếp,<h1>chiếp</h1><ul><li>xem chiêm chiếp</li></ul>,xem chiêm chiếp,
4092,chiết,"<h1>chiết</h1><h2>verb</h2><ul><li>To pour (part of some liquid from one vessel into another)<ul style=""list-style-type:circle""><li>chiết rượu từ vò sang chai:<i>to pour wine from a jar into bottles</i>-To extract<br/>-To deduct, to stop<br/></li><li>chiết 10% tiền công:<i>to deduct 10% from wages</i>-(nói về đan, khâu) To nip in<br/></li><li>chiết 15 mũi kim:<i>to nip in by 15 stitches</i>-To layer (in horticulture)<br/></li></ul></li></ul>",verb: To pour (part of some liquid from one vessel into another),
4093,chiết khấu,<h1>chiết khấu</h1><ul><li>Discount</li></ul>,Discount,
4094,chiết quang,<h1>chiết quang</h1><h2>adj</h2><ul><li>Refringent</li></ul>,adj: Refringent,
4095,chiết trung,"<h1>chiết trung</h1><h2>verb</h2><ul><li>To practise eclectism<ul style=""list-style-type:circle""><li>một đề nghị có tính chất chiết trung:<i>a proposal with an eclectic character</i></li></ul></li></ul><h2>adj</h2><ul><li>Eclectic</li></ul>",verb: To practise eclectism,
4096,chiết tự,<h1>chiết tự</h1><h2>noun</h2><ul><li>Phép chiết tự Graphology</li></ul>,noun: Phép chiết tự Graphology,
4097,chiết xuất,<h1>chiết xuất</h1><h2>verb</h2><ul><li>To extract</li></ul>,verb: To extract,
4098,chiết yêu,<h1>chiết yêu</h1><ul><li>xem bát chiết yêu</li></ul>,xem bát chiết yêu,
4099,chiêu,"<h1>chiêu</h1><h2>noun</h2><ul><li>xem cô chiêu</li></ul><h2>verb</h2><ul><li>To wash down<ul style=""list-style-type:circle""><li>cứ một viên thuốc lại chiêu một ngụm nước:<i>to wash down each tablet of medicine with a sip of water</i>-To recruit<br/></li></ul></li></ul><h2>adj</h2><ul><li>Left<ul style=""list-style-type:circle""><li>tay chiêu đập niêu không vỡ:<i>the left hand cannot break an earthen pot</i></li></ul></li></ul>",noun: xem cô chiêu,
4100,chiêu an,<h1>chiêu an</h1><ul><li>To call to surrender-To call the people to return to a normal life after a war<br/></li></ul>,To call to surrender,
4101,chiêu bài,"<h1>chiêu bài</h1><h2>noun</h2><ul><li>Signboard, label</li></ul>","noun: Signboard, label",
4102,chiêu binh,"<h1>chiêu binh</h1><ul><li>To recruit troops<ul style=""list-style-type:circle""><li>chiêu binh mãi mã:<i>to recruit troops and purchase horses, to prepare for war; to recruit confederates</i></li></ul></li></ul>",To recruit troops,
4103,chiêu đãi,"<h1>chiêu đãi</h1><h2>verb</h2><ul><li>To receive, to entertain<ul style=""list-style-type:circle""><li>chiêu đãi khách quốc tế:<i>to receive foreign guests</i></li></ul></li></ul>","verb: To receive, to entertain",
4104,chiêu đãi sở,"<h1>chiêu đãi sở</h1><h2>noun</h2><ul><li>Guests' house</li></ul>","noun: Guests' house",
4105,chiêu hiền,<h1>chiêu hiền</h1><ul><li>(nói về vua chúa ngày xưa) To recruit talents</li></ul>,(nói về vua chúa ngày xưa) To recruit talents,
4106,chiêu hồi,"<h1>chiêu hồi</h1><ul><li>""Open arms"" policy</li></ul>","""Open arms"" policy",
4107,chiêu hồn,<h1>chiêu hồn</h1><ul><li>To call up the soul (of a dead person)</li></ul>,To call up the soul (of a dead person),
4108,chiêu mộ,<h1>chiêu mộ</h1><h2>verb</h2>-to recruit; to enlist<br/>,verb: ,
4109,chiều,"<h1>chiều</h1><h2>noun</h2><ul><li>Afternoon, evening<ul style=""list-style-type:circle""><li>từ sáng đến chiều:<i>from morning to evening</i></li><li>ba giờ chiều:<i>three o'clock in the afternoon, three p.m</i></li><li>trời đã về chiều:<i>evening has set in</i>-Direction<br/></li><li>đường một chiều:<i>a one-direction road, a one-way road</i></li><li>điện xoay chiều:<i>alternating current</i></li><li>theo chiều kim đồng hồ:<i>in the direction of a clock's hand, clockwise</i>-Side, dimension<br/></li><li>mỗi chiều dài ba mét</li></ul></li></ul>","noun: Afternoon, evening",
4110,chiều chuộng,<h1>chiều chuộng</h1><h2>verb</h2>-To coddle; to pamper<br/>,verb: ,
4111,chiều ý,<h1>chiều ý</h1><h2>verb</h2>-to defer; to yield<br/>,verb: ,
4112,chiểu,"<h1>chiểu</h1><h2>verb</h2><ul><li>(dùng trong văn hành chi'nh) To take into account, to consider</li></ul>","verb: (dùng trong văn hành chi'nh) To take into account, to consider",
4113,chiếu,"<h1>chiếu</h1><h2>noun</h2><ul><li>Royal proclamation-Sedge mat<br/><ul style=""list-style-type:circle""><li>giừơng trải chiếu hoa:<i>a bed spread with a flowered sedge mat</i></li><li>màn trời chiếu đất:<i>in the open air</i></li></ul></li></ul><h2>verb</h2><ul><li>To radiate, to expose to (rays)<ul style=""list-style-type:circle""><li>ngọn đèn chiếu sáng khắp nhà:<i>the lamp radiates light all over the house, the lamp lights up the whole house</i>-To project<br/></li><li>xem chiếu phim:<i>to attend a projection of films, to attend a film show</i></li><li>phim chiếu cảnh đất nước giàu đẹp:<i>the film projected the sights of a beautiful and prosperous country, the film showed a beautiful and prosperous country</i></li></ul></li></ul>",noun: Royal proclamation,
4114,chiếu bóng,"<h1>chiếu bóng</h1><ul><li>Cinema, movies</li></ul>","Cinema, movies",
4115,chiếu chỉ,<h1>chiếu chỉ</h1><h2>noun</h2><ul><li>Royal proclamations and ordinances (nói khái quát)</li></ul>,noun: Royal proclamations and ordinances (nói khái quát),
4116,chiếu cố,"<h1>chiếu cố</h1><h2>verb</h2><ul><li>To make allowance for, to consider, to grant privileges to-To condescend, to deign<br/><ul style=""list-style-type:circle""><li>cám ơn ngài đã chiếu cố quá bộ đến nhà:<i>thank you for having deigned to come (for the great honour you did me by coming)</i></li></ul></li></ul>","verb: To make allowance for, to consider, to grant privileges to",
4117,chiếu điện,"<h1>chiếu điện</h1><ul><li>To X-ray, to roentgenize<ul style=""list-style-type:circle""><li>chiếu điện phổi:<i>to X-ray (someone's) lungs</i></li></ul></li></ul>","To X-ray, to roentgenize",
4118,chiếu khán,<h1>chiếu khán</h1><h2>noun</h2>-visa<br/>,noun: ,
4119,chiếu lệ,"<h1>chiếu lệ</h1><ul><li>For form's sake<ul style=""list-style-type:circle""><li>làm chiếu lệ:<i>to work for form's sake</i></li><li>hỏi thăm vài câu chiếu lệ:<i>to enquire after (someone) for form's sake</i></li></ul></li></ul>","For form's sake",
4120,chim,"<h1>chim</h1><h2>noun</h2><ul><li>Bird<ul style=""list-style-type:circle""><li>Tiếng Chim Trĩ:<i>Argus</i></li><li>chim có tổ, người có tông:<i>birds have nests, men have stock</i></li><li>ríu rít như đàn chim:<i>to twitter like a flock of birds</i></li><li>chim đầu đàn:<i>person in the lead (of a movement)</i></li><li>đường chim bay:<i>as the crow flies</i></li><li>cách nhau tám ki lô mét đường chim bay:<i>eight kilometers far from one another, as the crow flies</i></li><li>cá chậu chim lồng:<i>fish in bowl, bird in cage; behind prison bars</i></li></ul></li></ul>",noun: Bird,
4121,chim chích,"<h1>chim chích</h1><ul><li>Tailorbird, warbler</li></ul>","Tailorbird, warbler",
